As of Date,2025-06-12 23:10,,,,,,,,,,,,,,,,,,,,,
Account,TD Direct Investing - 79X006U,,,,,,,,,,,,,,,,,,,,,
Cash,5.04,,,,,,,,,,,,,,,,,,,,,
Investments,91372.7,,,,,,,,,,,,,,,,,,,,,
Total Value,91377.74,,,,,,,,,,,,,,,,,,,,,
Margin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Symbol,Market,Description,Quantity,Average Cost,Price,Book Cost,Market Value,Unrealized $,Unrealized %,% of Positions,Loan Value,Change Today $,Change Today %,Bid,Bid Lots,Ask,Ask Lots,Volume,Day Low,Day High,52-wk Low,52-wk High
ADBE,US,ADOBE INC,5,357.298,414.01,1786.49,2070.05,283.56,15.87,2.27,,0.83999634,0.2,0,0,0,0,6313316,410.77,416.39,332.01,587.75
GOOGL,US,ALPHABET INC CL-A,101.12359,164.7116,175.7,16656.23,17767.41,1111.18,6.67,19.44,,-1.6500092,-0.93,0,0,0,0,20941873,174.745,176.72,140.53,207.05
OXY,US,OCCIDENTAL PETE CORP,286,45.3994,44.75,12984.23,12798.5,-185.73,-1.43,14.01,,-0.08000183,-0.18,0,0,0,0,9681767,44.0536,44.77,34.78,64.75
PFE,US,PFIZER INC,100,22.2249,24.85,2222.49,2485,262.51,11.81,2.72,,0.3600006,1.47,0,0,0,0,42465423,24.53,24.88,20.92,31.54
SSTK,US,SHUTTERSTOCK INC,1161.28668,19.3664,18.48,22489.98,21460.58,-1029.4,-4.58,23.49,,-0.52000046,-2.74,0,0,0,0,203093,18.38,19.13,14.35,46.1
SIRI,US,SIRIUS XM HLDGS INC-NEW,300,22.0774,21.9,6623.22,6570,-53.22,-0.8,7.19,,-0.6800003,-3.01,0,0,0,0,5155817,21.82,22.6699,18.69,41.6
WU,US,WESTERN UNION COMPANY,3094.42557,10.456,9.12,32355.38,28221.16,-4134.22,-12.78,30.88,,-0.119999886,-1.3,0,0,0,0,8888630,9.06,9.22,9,13.11
